Index,GameTime,DspTime,Instrument,InputLine,InputPitch,FinalPitch,MaxClipIdx,ClipName,Volume,JavaMapping,WasClamped,ClampedFrom,Status
750,110.061,1969.9984,Piano,0,1,25,44,piano_snd025,0.15,True,True,1,PLAYED
751,110.213,1970.1493,Piano,1,4,23,44,piano_snd023,0.15,True,True,4,PLAYED
752,110.363,1970.3002,Piano,2,3,18,44,piano_snd018,0.15,True,True,3,PLAYED
753,110.562,1970.4976,Piano,1,1,20,44,piano_snd020,0.15,True,True,1,PLAYED
754,110.563,1970.4976,Piano,3,1,11,44,piano_snd011,0.15,True,True,1,PLAYED
755,110.563,1970.4976,Piano,5,3,4,44,piano_snd004,0.15,True,True,3,PLAYED
756,110.712,1970.6485,Piano,1,3,22,44,piano_snd022,0.15,True,True,3,PLAYED
757,110.863,1970.7995,Piano,1,4,23,44,piano_snd023,0.15,True,True,4,PLAYED
758,111.062,1971.0026,Piano,0,1,25,44,piano_snd025,0.15,True,True,1,PLAYED
759,111.246,1971.1942,Piano,0,3,27,44,piano_snd027,0.15,True,True,3,PLAYED
760,111.246,1971.1942,Piano,3,1,11,44,piano_snd011,0.15,True,True,1,PLAYED
761,111.246,1971.1942,Piano,4,1,6,44,piano_snd006,0.15,True,True,1,PLAYED
762,111.280,1971.2174,Piano,5,3,4,44,piano_snd004,0.15,True,True,3,PLAYED
763,111.413,1971.3451,Piano,0,1,25,44,piano_snd025,0.15,True,True,1,PLAYED
764,111.546,1971.4786,Piano,3,1,11,44,piano_snd011,0.15,True,True,1,PLAYED
765,111.546,1971.4786,Piano,4,1,6,44,piano_snd006,0.15,True,True,1,PLAYED
766,111.546,1971.4786,Piano,5,3,4,44,piano_snd004,0.15,True,True,3,PLAYED
767,111.546,1971.4786,Piano,1,4,23,44,piano_snd023,0.15,True,True,4,PLAYED
768,111.746,1971.6760,Piano,2,3,18,44,piano_snd018,0.15,True,True,3,PLAYED
769,111.912,1971.8444,Piano,1,1,20,44,piano_snd020,0.15,True,True,1,PLAYED
770,112.062,1971.9953,Piano,1,3,22,44,piano_snd022,0.15,True,True,3,PLAYED
771,112.246,1972.1752,Piano,1,4,23,44,piano_snd023,0.15,True,True,4,PLAYED
772,112.412,1972.3494,Piano,0,1,25,44,piano_snd025,0.15,True,True,1,PLAYED
773,112.579,1972.5177,Piano,0,3,27,44,piano_snd027,0.15,True,True,3,PLAYED
774,112.746,1972.6919,Piano,0,4,28,44,piano_snd028,0.15,True,True,4,PLAYED
775,112.945,1972.8776,Piano,0,6,30,44,piano_snd030,0.15,True,True,6,PLAYED
776,113.079,1973.0170,Piano,0,8,32,44,piano_snd032,0.15,True,True,8,PLAYED
777,113.295,1973.2317,Piano,0,10,34,44,piano_snd034,0.15,True,True,10,PLAYED
778,113.446,1973.3827,Piano,0,11,35,44,piano_snd035,0.15,True,True,11,PLAYED
779,113.629,1973.5684,Piano,0,13,37,44,piano_snd037,0.15,True,True,13,PLAYED
780,113.770,1973.7136,Piano,0,15,39,44,piano_snd039,0.15,True,True,15,PLAYED
781,113.937,1973.8645,Piano,0,16,40,44,piano_snd040,0.15,True,True,16,PLAYED
782,114.104,1974.0386,Piano,0,17,41,44,piano_snd041,0.15,True,True,17,PLAYED
783,114.304,1974.2360,Piano,5,3,4,44,piano_snd004,0.15,True,True,3,PLAYED
784,114.304,1974.2360,Piano,0,18,42,44,piano_snd042,0.15,True,True,18,PLAYED
785,114.304,1974.2360,Piano,2,15,30,44,piano_snd030,0.15,True,True,15,PLAYED
786,114.471,1974.4044,Piano,5,11,12,44,piano_snd012,0.15,True,True,11,PLAYED
787,114.620,1974.5553,Piano,5,6,7,44,piano_snd007,0.15,True,True,6,PLAYED
788,114.804,1974.7352,Piano,4,6,11,44,piano_snd011,0.15,True,True,6,PLAYED
789,114.987,1974.9268,Piano,5,3,4,44,piano_snd004,0.15,True,True,3,PLAYED
790,115.137,1975.0777,Piano,3,1,11,44,piano_snd011,0.15,True,True,1,PLAYED
791,115.321,1975.2577,Piano,4,1,6,44,piano_snd006,0.15,True,True,1,PLAYED
792,115.487,1975.4202,Piano,3,1,11,44,piano_snd011,0.15,True,True,1,PLAYED
793,115.653,1975.5886,Piano,2,7,22,44,piano_snd022,0.15,True,True,7,PLAYED
794,115.653,1975.5886,Piano,5,4,5,44,piano_snd005,0.15,True,True,4,PLAYED
795,115.653,1975.5886,Piano,0,10,34,44,piano_snd034,0.15,True,True,10,PLAYED
796,115.837,1975.7801,Piano,4,8,13,44,piano_snd013,0.15,True,True,8,PLAYED
797,115.987,1975.9195,Piano,5,7,8,44,piano_snd008,0.15,True,True,7,PLAYED
798,116.187,1976.1284,Piano,4,8,13,44,piano_snd013,0.15,True,True,8,PLAYED
799,116.337,1976.2736,Piano,5,4,5,44,piano_snd005,0.15,True,True,4,PLAYED
800,116.488,1976.4245,Piano,3,3,13,44,piano_snd013,0.15,True,True,3,PLAYED
801,116.687,1976.6277,Piano,4,2,7,44,piano_snd007,0.15,True,True,2,PLAYED
802,116.837,1976.7670,Piano,3,3,13,44,piano_snd013,0.15,True,True,3,PLAYED
803,117.003,1976.9353,Piano,0,13,37,44,piano_snd037,0.15,True,True,13,PLAYED
804,117.004,1976.9353,Piano,2,10,25,44,piano_snd025,0.15,True,True,10,PLAYED
805,117.004,1976.9353,Piano,4,0,5,44,piano_snd005,0.15,True,True,0,PLAYED
806,117.187,1977.1269,Piano,4,8,13,44,piano_snd013,0.15,True,True,8,PLAYED
807,117.370,1977.3068,Piano,3,0,10,44,piano_snd010,0.15,True,True,0,PLAYED
808,117.537,1977.4810,Piano,3,3,13,44,piano_snd013,0.15,True,True,3,PLAYED
809,117.687,1977.6261,Piano,4,0,5,44,piano_snd005,0.15,True,True,0,PLAYED
810,117.870,1977.8119,Piano,3,3,13,44,piano_snd013,0.15,True,True,3,PLAYED
811,118.053,1977.9918,Piano,3,0,10,44,piano_snd010,0.15,True,True,0,PLAYED
812,118.221,1978.1602,Piano,3,3,13,44,piano_snd013,0.15,True,True,3,PLAYED
813,118.387,1978.3227,Piano,1,2,21,44,piano_snd021,0.15,True,True,2,PLAYED
814,118.387,1978.3227,Piano,2,0,15,44,piano_snd015,0.15,True,True,0,PLAYED
815,118.387,1978.3227,Piano,4,4,9,44,piano_snd009,0.15,True,True,4,PLAYED
816,118.554,1978.4911,Piano,4,0,5,44,piano_snd005,0.15,True,True,0,PLAYED
817,118.704,1978.6420,Piano,5,4,5,44,piano_snd005,0.15,True,True,4,PLAYED
818,118.887,1978.8278,Piano,4,0,5,44,piano_snd005,0.15,True,True,0,PLAYED
819,119.087,1979.0135,Piano,5,4,5,44,piano_snd005,0.15,True,True,4,PLAYED
820,119.237,1979.1644,Piano,4,0,5,44,piano_snd005,0.15,True,True,0,PLAYED
821,119.387,1979.3154,Piano,5,4,5,44,piano_snd005,0.15,True,True,4,PLAYED
822,119.571,1979.5069,Piano,4,0,5,44,piano_snd005,0.15,True,True,0,PLAYED
823,119.737,1979.6753,Piano,4,5,10,44,piano_snd010,0.15,True,True,5,PLAYED
824,119.737,1979.6753,Piano,3,3,13,44,piano_snd013,0.15,True,True,3,PLAYED
825,119.737,1979.6753,Piano,1,3,22,44,piano_snd022,0.15,True,True,3,PLAYED
826,120.087,1980.0294,Piano,2,2,17,44,piano_snd017,0.15,True,True,2,PLAYED
827,120.087,1980.0294,Piano,0,1,25,44,piano_snd025,0.15,True,True,1,PLAYED
828,120.087,1980.0294,Piano,3,0,10,44,piano_snd010,0.15,True,True,0,PLAYED
829,120.287,1980.2210,Piano,2,2,17,44,piano_snd017,0.15,True,True,2,PLAYED
830,120.287,1980.2210,Piano,0,1,25,44,piano_snd025,0.15,True,True,1,PLAYED
831,120.287,1980.2210,Piano,3,0,10,44,piano_snd010,0.15,True,True,0,PLAYED
832,120.420,1980.3603,Piano,2,2,17,44,piano_snd017,0.15,True,True,2,PLAYED
833,120.421,1980.3603,Piano,0,1,25,44,piano_snd025,0.15,True,True,1,PLAYED
834,120.421,1980.3603,Piano,3,0,10,44,piano_snd010,0.15,True,True,0,PLAYED
835,120.621,1980.5576,Piano,0,1,25,44,piano_snd025,0.15,True,True,1,PLAYED
836,120.621,1980.5576,Piano,3,0,10,44,piano_snd010,0.15,True,True,0,PLAYED
837,120.621,1980.5576,Piano,2,2,17,44,piano_snd017,0.15,True,True,2,PLAYED
838,120.787,1980.7318,Piano,3,0,10,44,piano_snd010,0.15,True,True,0,PLAYED
839,120.788,1980.7318,Piano,2,2,17,44,piano_snd017,0.15,True,True,2,PLAYED
840,120.838,1980.7782,Piano,0,1,25,44,piano_snd025,0.15,True,True,1,PLAYED
841,121.104,1981.0395,Piano,3,2,12,44,piano_snd012,0.15,True,True,2,PLAYED
842,121.104,1981.0395,Piano,2,2,17,44,piano_snd017,0.15,True,True,2,PLAYED
843,121.105,1981.0395,Piano,0,0,24,44,piano_snd024,0.15,True,True,0,PLAYED
844,121.437,1981.3761,Piano,1,3,22,44,piano_snd022,0.15,True,True,3,PLAYED
845,121.438,1981.3761,Piano,3,3,13,44,piano_snd013,0.15,True,True,3,PLAYED
846,121.438,1981.3761,Piano,2,2,17,44,piano_snd017,0.15,True,True,2,PLAYED
847,121.787,1981.7186,Piano,4,0,5,44,piano_snd005,0.15,True,True,0,PLAYED
848,121.787,1981.7186,Piano,2,2,17,44,piano_snd017,0.15,True,True,2,PLAYED
849,121.787,1981.7186,Piano,3,5,15,44,piano_snd015,0.15,True,True,5,PLAYED
850,121.788,1981.7186,Piano,1,2,21,44,piano_snd021,0.15,True,True,2,PLAYED
851,122.138,1982.0785,Piano,2,2,17,44,piano_snd017,0.15,True,True,2,PLAYED
852,122.138,1982.0785,Piano,3,5,15,44,piano_snd015,0.15,True,True,5,PLAYED
853,122.138,1982.0785,Piano,1,2,21,44,piano_snd021,0.15,True,True,2,PLAYED
854,122.187,1982.1250,Piano,0,5,29,44,piano_snd029,0.15,True,True,5,PLAYED
855,122.304,1982.2353,Piano,3,5,15,44,piano_snd015,0.15,True,True,5,PLAYED
